Caso;Actuación;Duración;Gestión;Fecha Límite
TEC-EDU – licencias de software educativo fantasma (Tolima, 2022);Revocatoria de medida de aseguramiento;44;;2025-11-20 00:00:00
Cartel de la Hemofilia – Córdoba (pagos a IPS por pacientes inexistentes);Corrección o adición de acusación;44;;2025-10-28 00:00:00
EcoTurismo – senderos sin licencia ambiental (Amazonas, 2019);Exclusión de pruebas (ilegalidad/pertinencia);44;;2025-11-10 00:00:00
Rondas Seguras – vigilancia privada sin prestación efectiva (Atlántico, 2021);Aceptación de cargos;44;;2025-09-11 00:00:00
Agro Ingreso Seguro – AIS (subsidios irregulares);Audiencia de formulación de acusación;45;;2025-11-13 00:00:00
Red de Cámaras – CCTV sin cobertura real (N. de Santander, 2020);Descubrimiento probatorio (verificación/incumplimiento);45;;2025-12-05 00:00:00
Malecón Turístico – cambio de diseños sin justificación (Casanare, 2019);Corrección o adición de acusación;46;;2025-10-22 00:00:00
Acueducto Metropolitano – pérdidas no técnicas no mitigadas (Valle, 2021);Legalización de captura;51;;2025-11-19 00:00:00
Colegio Campestre – interventoría simultánea incompatible (Risaralda, 2022);Audiencia de preacuerdo (verificación judicial);52;;2025-11-16 00:00:00
Centros Poblados – MinTIC (garantías falsas y anticipo);Control de legalidad de incautaciones;52;;2025-11-16 00:00:00
Escenarios Deportivos – certificaciones estructurales omitidas (Quindío, 2018);Variación de la calificación jurídica;52;;2025-11-08 00:00:00
Ciclo-Infra – estudios de tránsito desactualizados (Antioquia, 2020);Audiencia de revocatoria de libertad por incumplimiento de obligaciones;53;;2025-10-11 00:00:00
Colegio del Futuro – interventorías duplicadas (Cundinamarca, 2020);Audiencia de sustitución de medida por brazalete electrónico;54;;2025-09-28 00:00:00
Tránsito Eficiente – contratación semafórica (Valle del Cauca, 2020);Control de legalidad de allanamiento y registro;55;;2025-11-21 00:00:00
Buen Puerto – sobrecostos en dragado (Bolívar, 2021);Exclusión de pruebas (ilegalidad/pertinencia);55;;2025-09-13 00:00:00
Red Semilleros TIC – contratos de formación sin ejecución (Arauca, 2022);Variación de la calificación jurídica;56;;2025-12-06 00:00:00
Puente del Río Norte – adiciones sucesivas sin soporte (Santander, 2019–2021);Audiencia de cadena de custodia (control y controversia);58;;2025-11-14 00:00:00
Río Limpio – plantas de tratamiento sin insumos (Magdalena, 2020);Descubrimiento probatorio (verificación/incumplimiento);59;;2025-11-21 00:00:00
Bosques Urbanos – siembra y mortalidad de plántulas (Santander, 2022);Variación de la calificación jurídica;59;;2025-09-25 00:00:00
Placa Huella Rural – especificaciones cambiadas en obra (Cauca, 2021);Revocatoria de medida de aseguramiento;65;;2025-11-12 00:00:00
Caso Ruta del Sol III – controversias contractuales derivadas (asociado a Odebrecht);Aprobación de principio de oportunidad;66;;2025-10-25 00:00:00
Vía Anillo Cafetero – ítems de obra no ejecutados (Eje Cafetero, 2020);Exclusión de pruebas (ilegalidad/pertinencia);66;;2025-10-01 00:00:00
Terminal Multimodal – interventoría con conflicto de interés (Antioquia, 2019);Ruptura de la unidad procesal;66;;2025-12-05 00:00:00
Canchas Sintéticas – gramilla fuera de especificación (Eje Cafetero, 2021);Audiencia de habeas corpus (control de libertad);66;;2025-10-05 00:00:00
Vivienda Digna – selección de beneficiarios amañada (Sucre, 2021);Prueba anticipada;66;;2025-09-03 00:00:00
Caso Nicolás Petro – enriquecimiento ilícito y lavado (en juicio);Ruptura de la unidad procesal;67;;2025-09-11 00:00:00
Cartel del Soat – reclamaciones médicas fraudulentas;Control de legalidad de interceptaciones;67;;2025-10-07 00:00:00
Cartel del Contrabando de cigarrillos – Costa Caribe (investigaciones fiscales);Audiencia de habeas corpus (control de libertad);68;;2025-11-26 00:00:00
Parques Lineales – sobreprecios en mobiliario urbano (Santander, 2023);Formulación de imputación;68;;2025-11-21 00:00:00
Frontera Segura – contrabando de hidrocarburos (La Guajira, 2022);Audiencia de control de términos (libertad por vencimiento);68;;2025-11-16 00:00:00
Hospital Digital – tele-UCI sin conectividad (Chocó, 2021);Control de legalidad de interceptaciones;69;;2025-09-16 00:00:00
Red de Museos – vitrinas y climatización sin garantía (Bogotá, 2021);Exclusión de pruebas (ilegalidad/pertinencia);70;;2025-10-31 00:00:00
Recuperación de Cuencas – monitoreo hidrológico inexistente (Huila, 2022);Solicitud e imposición de medida de aseguramiento;71;;2025-11-23 00:00:00
Cultura en Casa – contratación artística fraccionada (Córdoba, 2020);Audiencia de conciliación en delitos querellables;71;;2025-11-19 00:00:00
Rafael Uribe Noguera – feminicidio Yuliana Samboní (condena);Audiencia de revocatoria de libertad por incumplimiento de obligaciones;72;;2025-11-16 00:00:00
Caso Álvaro Uribe – soborno a testigos y fraude procesal (proceso penal);Exclusión de pruebas (ilegalidad/pertinencia);73;;2025-11-28 00:00:00
Acueducto Rural – carrotanques subutilizados (Cesar, 2024);Control de legalidad de allanamiento y registro;76;;2025-12-03 00:00:00
Comedores Comunitarios – raciones no entregadas (Bogotá, 2021);Sustitución de medida de aseguramiento;77;;2025-11-06 00:00:00
Red de Innovación – consultorías clonadas (Bogotá, 2023);Solicitud e imposición de medida de aseguramiento;78;;2025-09-28 00:00:00
Bibliotecas Digitales – licencias duplicadas (Risaralda, 2020);Audiencia de formulación de acusación;79;;2025-11-07 00:00:00
Albergues Temporales – capacidad no instalada (Arauca, 2023);Sustitución de medida de aseguramiento;80;;2025-10-04 00:00:00
Proceso 8000 (financiación ilícita de campaña);Exclusión de pruebas (ilegalidad/pertinencia);82;;2025-11-27 00:00:00
UNGRD – carrotanques La Guajira (red de sobornos y sobrecostos);Nulidad en control de garantías;88;;2025-10-25 00:00:00
Cartel de la Chatarra – Bogotá (devoluciones irregulares de IVA);Formulación de imputación;89;;2025-10-17 00:00:00
Mercados Solidarios – ayudas COVID-19 (Bogotá, 2020);Formulación de imputación;89;;2025-10-16 00:00:00
Aída Merlano – compra de votos y fuga;Acumulación procesal;89;;2025-09-04 00:00:00
Reficar (sobrecostos y fallas de control);Control posterior de diligencias de policía judicial;90;;2025-10-16 00:00:00
Transporte Escolar – rutas fantasma (La Guajira, 2019);Nulidad en control de garantías;91;;2025-12-01 00:00:00
Cartel de las Pensiones – manipulación de bonos pensionales;Audiencia preparatoria;95;;2025-11-20 00:00:00
Parque Tecnológico – comodatos en conflicto (Risaralda, 2021);Audiencia preparatoria;97;;2025-11-14 00:00:00
Red de Puentes – pruebas de carga omitidas (Boyacá, 2018);Prueba anticipada;103;;2025-10-20 00:00:00
Tecnología Cívica – apps sin soporte ni mantenimiento (Valle, 2023);Descubrimiento probatorio (verificación/incumplimiento);106;;2025-10-08 00:00:00
Malla Vial Urbana – reciclaje de mezcla asfáltica fraudulento (Caldas, 2019);Audiencia de formulación de acusación;107;;2025-10-28 00:00:00
Hospital Verde – dotación hospitalaria con sobrecostos (Chocó, 2021);Audiencia de sustitución de medida por brazalete electrónico;109;;2025-11-28 00:00:00
Planta de Residuos – incumplimientos del operador (Santander, 2023);Prueba anticipada;113;;2025-11-30 00:00:00
Mercados Campesinos – logística subcontratada sin entregables (Cauca, 2021);Audiencia preparatoria;118;;2025-11-27 00:00:00
Hidroituango – responsabilidad fiscal CGR;Prueba anticipada;119;;2025-10-23 00:00:00
Metrópoli Verde – zonas verdes tercerizadas sin mantenimiento (Valle, 2022);Prueba anticipada;125;;2025-11-01 00:00:00
Agua para la Vereda – plantas de tratamiento inoperantes (N.  de Santander, 2023);Audiencia de sustitución de medida por brazalete electrónico;145;;2025-10-16 00:00:00
Jardines Infantiles – contratos cruzados con fundaciones (Nariño, 2020);Audiencia de control de términos (libertad por vencimiento);169;;2025-11-09 00:00:00
Ruta Biosegura – compras de EPP con sobrecostos (Bolívar, 2020);Audiencia de suspensión condicional del procedimiento (cuando procede);174;;2025-12-01 00:00:00
Zona Franca Logística – incentivos sin contraprestación (Bolívar, 2019);Audiencia de control de términos (libertad por vencimiento);174;;2025-12-07 00:00:00
Cárcel Modelo Regional – incumplimientos de cronograma (Boyacá, 2019);Audiencia de revocatoria de libertad por incumplimiento de obligaciones;176;;2025-09-08 00:00:00
